iteration,test_plant,model_name,mse,eval_count
1,PlantA,PCRNN,0.47034753969624726,176165.0
1,PlantA,RNN,0.470660342335336,176165.0
1,PlantA,Linear,0.7690925469189299,176165.0
1,PlantA,Naive,1.4720662838905738,176165.0
1,PlantB,PCRNN,0.7351531600065534,1621096.0
1,PlantB,RNN,0.8548452538705412,1621096.0
1,PlantB,Linear,1.1610665592158125,1621096.0
1,PlantB,Naive,1.7909092231705572,1621096.0
1,PlantC,PCRNN,0.8993610712958339,915256.0
1,PlantC,RNN,0.9648967645058587,915256.0
1,PlantC,Linear,1.226633705335437,915256.0
1,PlantC,Naive,1.5696533700795419,915256.0
2,PlantA,PCRNN,0.46102330974768985,179521.0
2,PlantA,RNN,0.7063714217588052,179521.0
2,PlantA,Linear,0.7181472853218137,179521.0
2,PlantA,Naive,1.4556170110175193,179521.0
2,PlantB,PCRNN,0.930298367472596,1621096.0
2,PlantB,RNN,0.8646490296544533,1621096.0
2,PlantB,Linear,1.1550869108664439,1621096.0
2,PlantB,Naive,1.7909092231705572,1621096.0
2,PlantC,PCRNN,0.898645525963,915256.0
2,PlantC,RNN,1.022073446006543,915256.0
2,PlantC,Linear,1.2033953555834564,915256.0
2,PlantC,Naive,1.5696533700795419,915256.0
3,PlantA,PCRNN,0.49731734497083707,177073.0
3,PlantA,RNN,0.6388304522900367,177073.0
3,PlantA,Linear,0.7442978220015548,177073.0
3,PlantA,Naive,1.533075211391696,177073.0
3,PlantB,PCRNN,0.8435668428455927,1621096.0
3,PlantB,RNN,1.0570719214768747,1621096.0
3,PlantB,Linear,1.1475928870934398,1621096.0
3,PlantB,Naive,1.7909092231705572,1621096.0
3,PlantC,PCRNN,0.9309220633253779,915256.0
3,PlantC,RNN,1.018111803554811,915256.0
3,PlantC,Linear,1.2015287845472657,915256.0
3,PlantC,Naive,1.5696533700795419,915256.0
4,PlantA,PCRNN,0.6464797952906441,176503.0
4,PlantA,RNN,0.6073603502433015,176503.0
4,PlantA,Linear,0.8748044837955427,176503.0
4,PlantA,Naive,1.6233673425499109,176503.0
4,PlantB,PCRNN,0.8149527676064652,1621096.0
4,PlantB,RNN,0.9159649908770678,1621096.0
4,PlantB,Linear,1.172377399563788,1621096.0
4,PlantB,Naive,1.7909092231705572,1621096.0
4,PlantC,PCRNN,0.9282709696525612,915256.0
4,PlantC,RNN,1.0725892469173037,915256.0
4,PlantC,Linear,1.2177091279884158,915256.0
4,PlantC,Naive,1.5696533700795419,915256.0
5,PlantA,PCRNN,0.554582962139665,174815.0
5,PlantA,RNN,0.6002308681120279,174815.0
5,PlantA,Linear,0.9016117513795365,174815.0
5,PlantA,Naive,1.6046430569349253,174815.0
5,PlantB,PCRNN,0.8512863869366047,1621096.0
5,PlantB,RNN,1.3146765466666919,1621096.0
5,PlantB,Linear,1.1891783724453344,1621096.0
5,PlantB,Naive,1.7909092231705572,1621096.0
5,PlantC,PCRNN,0.9719460320848073,915256.0
5,PlantC,RNN,1.181269468255802,915256.0
5,PlantC,Linear,1.253245145145068,915256.0
5,PlantC,Naive,1.5696533700795419,915256.0
6,PlantA,PCRNN,0.4984727958376891,178535.0
6,PlantA,RNN,0.7554283841628794,178535.0
6,PlantA,Linear,0.7357147437848472,178535.0
6,PlantA,Naive,1.4814073942232093,178535.0
6,PlantB,PCRNN,1.1493582947740149,1621096.0
6,PlantB,RNN,1.3882486247030683,1621096.0
6,PlantB,Linear,1.1595787418592216,1621096.0
6,PlantB,Naive,1.7909092231705572,1621096.0
6,PlantC,PCRNN,0.9853221981436062,915256.0
6,PlantC,RNN,1.0787926510417771,915256.0
6,PlantC,Linear,1.221953485992378,915256.0
6,PlantC,Naive,1.5696533700795419,915256.0
7,PlantA,PCRNN,0.5159752241144767,179025.0
7,PlantA,RNN,0.6786302266026571,179025.0
7,PlantA,Linear,0.7800333096338675,179025.0
7,PlantA,Naive,1.5305349810432163,179025.0
7,PlantB,PCRNN,0.7718947912785173,1621096.0
7,PlantB,RNN,1.833404412959091,1621096.0
7,PlantB,Linear,1.163757441388044,1621096.0
7,PlantB,Naive,1.7909092231705572,1621096.0
7,PlantC,PCRNN,0.889216792732452,915256.0
7,PlantC,RNN,1.2781523517846622,915256.0
7,PlantC,Linear,1.2065799533593107,915256.0
7,PlantC,Naive,1.5696533700795419,915256.0
8,PlantA,PCRNN,0.49121559475238935,175642.0
8,PlantA,RNN,0.5234587746771092,175642.0
8,PlantA,Linear,0.8011289950995728,175642.0
8,PlantA,Naive,1.5645554834858844,175642.0
8,PlantB,PCRNN,1.2543262597378548,1621096.0
8,PlantB,RNN,1.1042690962189559,1621096.0
8,PlantB,Linear,1.1564027719841843,1621096.0
8,PlantB,Naive,1.7909092231705572,1621096.0
8,PlantC,PCRNN,1.0189240883343835,915256.0
8,PlantC,RNN,1.0870902830348284,915256.0
8,PlantC,Linear,1.2130890436067843,915256.0
8,PlantC,Naive,1.5696533700795419,915256.0
9,PlantA,PCRNN,0.5577680358881172,180131.0
9,PlantA,RNN,0.5873710472883951,180131.0
9,PlantA,Linear,0.7988060292460898,180131.0
9,PlantA,Naive,1.5628320714258948,180131.0
9,PlantB,PCRNN,0.9248048311295539,1621096.0
9,PlantB,RNN,1.1531570769720794,1621096.0
9,PlantB,Linear,1.1631275081385832,1621096.0
9,PlantB,Naive,1.7909092231705572,1621096.0
9,PlantC,PCRNN,0.9068355359821134,915256.0
9,PlantC,RNN,1.0421008047742086,915256.0
9,PlantC,Linear,1.2106798229519966,915256.0
9,PlantC,Naive,1.5696533700795419,915256.0
10,PlantA,PCRNN,0.5922414314246023,180932.0
10,PlantA,RNN,0.6107745332256393,180932.0
10,PlantA,Linear,0.7534006226460077,180932.0
10,PlantA,Naive,1.5530257702668446,180932.0
10,PlantB,PCRNN,0.8121896996550767,1621096.0
10,PlantB,RNN,0.692305590718437,1621096.0
10,PlantB,Linear,1.1489600891755438,1621096.0
10,PlantB,Naive,1.7909092231705572,1621096.0
10,PlantC,PCRNN,0.9358452033772984,915256.0
10,PlantC,RNN,0.923998894628115,915256.0
10,PlantC,Linear,1.1740488853320725,915256.0
10,PlantC,Naive,1.5696533700795419,915256.0
