iteration,test_plant,model_name,mse,eval_count
1,PlantA,PCRNN,0.6762222311510038,392161.0
1,PlantA,RNN,0.7716798159609382,392161.0
1,PlantA,Linear,0.8376417546492884,392161.0
1,PlantA,Naive,1.5493926223583463,392161.0
1,PlantB,PCRNN,0.7622920648136853,1522373.0
1,PlantB,RNN,0.7726320049111098,1522373.0
1,PlantB,Linear,1.1260200407187655,1522373.0
1,PlantB,Naive,1.7759913384790518,1522373.0
1,PlantC,PCRNN,0.9470196480001418,915256.0
1,PlantC,RNN,1.0388456807276076,915256.0
1,PlantC,Linear,1.1976939240871696,915256.0
1,PlantC,Naive,1.5696533700795419,915256.0
2,PlantA,PCRNN,0.7220067959330351,392161.0
2,PlantA,RNN,0.7022236302418936,392161.0
2,PlantA,Linear,0.8315602104911607,392161.0
2,PlantA,Naive,1.5493926223583463,392161.0
2,PlantB,PCRNN,0.7597209273401998,1524413.0
2,PlantB,RNN,0.7492704570382986,1524413.0
2,PlantB,Linear,1.225054982100697,1524413.0
2,PlantB,Naive,1.7988403938133675,1524413.0
2,PlantC,PCRNN,0.9690691912763699,915256.0
2,PlantC,RNN,1.0647334381284235,915256.0
2,PlantC,Linear,1.2559162586031247,915256.0
2,PlantC,Naive,1.5696533700795419,915256.0
3,PlantA,PCRNN,0.7082247628090804,392161.0
3,PlantA,RNN,1.1328752558730273,392161.0
3,PlantA,Linear,0.8284599419281953,392161.0
3,PlantA,Naive,1.5493926223583463,392161.0
3,PlantB,PCRNN,0.743407319407336,1523169.0
3,PlantB,RNN,0.8236570751861447,1523169.0
3,PlantB,Linear,1.1368959969759127,1523169.0
3,PlantB,Naive,1.793270584177252,1523169.0
3,PlantC,PCRNN,0.9931687396043144,915256.0
3,PlantC,RNN,1.1368134639527674,915256.0
3,PlantC,Linear,1.2062551090759293,915256.0
3,PlantC,Naive,1.5696533700795419,915256.0
4,PlantA,PCRNN,0.5141542465917007,392161.0
4,PlantA,RNN,0.5748526344118338,392161.0
4,PlantA,Linear,0.827444602154636,392161.0
4,PlantA,Naive,1.5493926223583463,392161.0
4,PlantB,PCRNN,0.720692620365059,1521710.0
4,PlantB,RNN,1.299653430231193,1521710.0
4,PlantB,Linear,1.1567619601709453,1521710.0
4,PlantB,Naive,1.7837363245209823,1521710.0
4,PlantC,PCRNN,0.9916280216801593,915256.0
4,PlantC,RNN,1.3011024662421475,915256.0
4,PlantC,Linear,1.2216708193818069,915256.0
4,PlantC,Naive,1.5696533700795419,915256.0
5,PlantA,PCRNN,0.6655110795801089,392161.0
5,PlantA,RNN,0.7034871040685867,392161.0
5,PlantA,Linear,0.837163453065137,392161.0
